UF;Leitos;
AL;27;
PB;45;
PB;10;
SP;50;
RJ;43;
SP;50;
RJ;134;
RJ;180;
RJ;88;
RJ;248;
MG;90;
MG;300;
SP;46;
RJ;70;
ES;70;
RJ;57;
SP;207;
AL;88;
PB;60;
AL;75;
CE;48;
AL;24;
PI;60;
PB;30;
BA;30;
BA;78;
CE;21;
CE;20;
PE;34;
PB;20;
AL;20;
SP;160;
SP;40;
SP;360;
RJ;44;
RJ;146;
RJ;47;
SP;84;
MG;52;
RJ;401;
MG;61;
SP;10;
SP;90;
RJ;80;
BA;70;
CE;69;
CE;105;
PE;72;
PE;30;
PE;251;
CE;64;
PE;114;
CE;13;
PB;62;
CE;20;
PE;26;
MA;60;
BA;28;
CE;144;
BA;20;
CE;40;
MA;64;
MA;70;
CE;33;
BA;28;
MG;45;
RJ;33;
RJ;46;
SP;50;
SP;72;
ES;130;
RJ;150;
SP;30;
ES;160;
MG;22;
SP;82;
MG;3;
RJ;120;
RJ;32;
CE;24;
MA;42;
AL;15;
BA;48;
BA;41;
AL;80;
SE;50;
PE;19;
BA;135;
CE;14;
PB;120;
PB;50;
AL;96;
CE;32;
RJ;38;
SP;279;
SP;50;
RJ;144;
RJ;15;
SP;92;
SP;45;
MG;45;
RJ;32;
RJ;78;
SP;130;
SP;147;
SP;760;
AL;51;
PB;124;
BA;69;
PB;30;
PE;284;
RN;100;
CE;38;
AL;67;
BA;40;
PE;14;
AL;23;
RN;42;
MA;70;
AL;22;
RJ;54;
SP;20;
SP;195;
RJ;13;
SP;10;
RJ;120;
RJ;254;
RJ;30;
MG;110;
SP;153;
SP;134;
RJ;93;
RJ;178;
SP;52;
PE;36;
CE;43;
PB;52;
AL;53;
PI;50;
PE;130;
MA;80;
BA;40;
CE;112;
AL;32;
AL;30;
PB;75;
AL;67;
CE;120;
SP;14;
SP;150;
MG;80;
SP;72;
MG;32;
SP;70;
SP;159;
PE;22;
PE;68;
CE;44;
CE;12;
AL;45;
AL;42;
PB;32;
SP;42;
SP;276;
SP;320;
SP;516;
RJ;71;
MG;58;
MA;41;
CE;8;
PE;146;
PB;152;
PB;45;
AL;36;
RN;45;
SP;28;
SP;573;
RJ;494;
SP;208;
SP;90;
SP;148;
RJ;20;
ES;120;
RJ;96;
SP;39;
RJ;279;
SP;280;
RJ;12;
CE;18;
AL;56;
BA;112;
CE;23;
BA;81;
CE;34;
CE;6;
RN;28;
CE;6;
PE;85;
BA;30;
AL;40;
BA;69;
PI;77;
AL;53;
BA;32;
BA;114;
CE;28;
MA;53;
MA;30;
BA;150;
RJ;28;
SP;192;
SP;294;
RJ;300;
RJ;32;
SP;39;
BA;180;
CE;66;
CE;36;
